TF_service_name,TF_terraform_resource_name,TF_aws_sdk_resource_name,TF_num_before_sdk_calls,TF_num_intermediate_sdk_calls,TF_num_after_sdk_calls,TF_num_create_function_stack_calls,TF_num_create_function_only_calls,TF_create_function_only_calls,TF_file_path,SR_service_name,SR_operation_name,SR_authorized_actions-authorized_action-Name,SR_authorized_actions-action_details-resource_details-name,SR_authorized_actions-action_details-resource_details-arn-arn_template,BC_operation_name,BC_input_shape_name,BC_is_required,BC_total_arn_variable_count,BC_successful_arn_variable_count
quicksight,aws_quicksight_user,User,0,0,1,2,1,RegisterUser,/Users/hbwei/terraform-provider-aws/internal/service/quicksight/user.go,quicksight,quicksight:RegisterUser,quicksight:RegisterUser,user,arn:${Partition}:quicksight:${Region}:${Account}:user/${ResourceId},,,,1,0
lightsail,aws_lightsail_key_pair,KeyPair,0,0,2,4,2,CreateKeyPair,/Users/hbwei/terraform-provider-aws/internal/service/lightsail/key_pair.go,lightsail,lightsail:CreateKeyPair,lightsail:CreateKeyPair,,,,,,0,0
detective,aws_detective_graph,Graph,0,0,1,2,1,CreateGraph,/Users/hbwei/terraform-provider-aws/internal/service/detective/graph.go,detective,detective:CreateGraph,detective:CreateGraph,,,,,,0,0
sagemaker,aws_sagemaker_app,App,0,0,2,3,1,CreateApp,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/app.go,sagemaker,sagemaker:CreateApp,sagemaker:CreateApp,app,arn:${Partition}:sagemaker:${Region}:${Account}:app/${DomainId}/${UserProfileName}/${AppType}/${AppName},CreateApp,CreateAppRequest,true,3,3
s3,aws_s3_bucket_ownership_controls,Bucket Ownership Controls,0,0,1,2,1,PutBucketOwnershipControls,/Users/hbwei/terraform-provider-aws/internal/service/s3/bucket_ownership_controls.go,s3,s3:PutBucketOwnershipControls,s3:PutBucketOwnershipControls,bucket,arn:${Partition}:s3:::${BucketName},,,,1,0
servicecatalog,aws_servicecatalog_organizations_access,Organizations Access,0,1,1,3,2,DisableAWSOrganizationsAccess,/Users/hbwei/terraform-provider-aws/internal/service/servicecatalog/organizations_access.go,servicecatalog,servicecatalog:DisableAWSOrganizationsAccess,servicecatalog:DisableAWSOrganizationsAccess,,,,,,0,0
lightsail,aws_lightsail_disk,Disk,0,0,2,3,1,CreateDisk,/Users/hbwei/terraform-provider-aws/internal/service/lightsail/disk.go,lightsail,lightsail:CreateDisk,lightsail:CreateDisk,,,,,,0,0
waf,aws_waf_rule_group,Rule Group,1,0,4,5,1,CreateRuleGroup,/Users/hbwei/terraform-provider-aws/internal/service/waf/rule_group.go,waf,waf:CreateRuleGroup,waf:CreateRuleGroup,rulegroup,arn:${Partition}:waf::${Account}:rulegroup/${Id},,,,1,0
cognitoidp,aws_cognito_user,User,0,0,1,4,3,AdminSetUserPassword,/Users/hbwei/terraform-provider-aws/internal/service/cognitoidp/user.go,cognito-idp,cognito-idp:AdminSetUserPassword,cognito-idp:AdminSetUserPassword,userpool,arn:${Partition}:cognito-idp:${Region}:${Account}:userpool/${UserPoolId},AdminSetUserPassword,AdminSetUserPasswordRequest,true,1,1
workspaces,aws_workspaces_directory,Directory,0,1,1,8,7,ModifyCertificateBasedAuthProperties,/Users/hbwei/terraform-provider-aws/internal/service/workspaces/directory.go,workspaces,workspaces:ModifyCertificateBasedAuthProperties,workspaces:ModifyCertificateBasedAuthProperties,directoryid,arn:${Partition}:workspaces:${Region}:${Account}:directory/${DirectoryId},,,,1,0
kinesis,aws_kinesis_stream,Stream,0,1,1,5,4,IncreaseStreamRetentionPeriod,/Users/hbwei/terraform-provider-aws/internal/service/kinesis/stream.go,kinesis,kinesis:IncreaseStreamRetentionPeriod,kinesis:IncreaseStreamRetentionPeriod,stream,arn:${Partition}:kinesis:${Region}:${Account}:stream/${StreamName},IncreaseStreamRetentionPeriod,IncreaseStreamRetentionPeriodInput,false,1,1
sagemaker,aws_sagemaker_notebook_instance_lifecycle_configuration,Notebook Instance Lifecycle Configuration,0,0,1,2,1,CreateNotebookInstanceLifecycleConfig,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/notebook_instance_lifecycle_configuration.go,sagemaker,sagemaker:CreateNotebookInstanceLifecycleConfig,sagemaker:CreateNotebookInstanceLifecycleConfig,notebook-instance-lifecycle-config,arn:${Partition}:sagemaker:${Region}:${Account}:notebook-instance-lifecycle-config/${NotebookInstanceLifecycleConfigName},CreateNotebookInstanceLifecycleConfig,CreateNotebookInstanceLifecycleConfigInput,true,1,1
lambda,aws_lambda_layer_version_permission,Layer Version Permission,0,0,1,2,1,AddLayerVersionPermission,/Users/hbwei/terraform-provider-aws/internal/service/lambda/layer_version_permission.go,lambda,lambda:AddLayerVersionPermission,lambda:AddLayerVersionPermission,layerVersion,arn:${Partition}:lambda:${Region}:${Account}:layer:${LayerName}:${LayerVersion},,,,1,0
transfer,aws_transfer_user,User,0,0,1,2,1,CreateUser,/Users/hbwei/terraform-provider-aws/internal/service/transfer/user.go,transfer,transfer:CreateUser,transfer:CreateUser,server,arn:${Partition}:transfer:${Region}:${Account}:server/${ServerId},CreateUser,CreateUserRequest,true,1,1
