TF_service_name,TF_terraform_resource_name,TF_aws_sdk_resource_name,TF_num_before_sdk_calls,TF_num_intermediate_sdk_calls,TF_num_after_sdk_calls,TF_num_create_function_stack_calls,TF_num_create_function_only_calls,TF_create_function_only_calls,TF_file_path,SR_service_name,SR_operation_name,SR_authorized_actions-authorized_action-Name,SR_authorized_actions-action_details-resource_details-name,SR_authorized_actions-action_details-resource_details-arn-arn_template,SR_authorized_actions-action_details-resource_details-arn-arn_variables,BC_operation_name,BC_input_shape_name,BC_member_name,BC_is_required,BC_member_shape_name,BC_member_shape_type,TF_successful_arn_variable_match
autoscaling,aws_autoscaling_group,Group,0,4,1,10,6,PutWarmPool,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/group.go,autoscaling,autoscaling:PutWarmPool,autoscaling:PutWarmPool,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},GroupFriendlyName,,,,,,,false
ses,aws_ses_receipt_rule,Receipt Rule,0,0,1,2,1,CreateReceiptRule,/Users/hbwei/terraform-provider-aws/internal/service/ses/receipt_rule.go,ses,ses:CreateReceiptRule,ses:CreateReceiptRule,,,,,,,,,,false
detective,aws_detective_member,Member,0,0,1,2,1,CreateMembers,/Users/hbwei/terraform-provider-aws/internal/service/detective/member.go,detective,detective:CreateMembers,detective:CreateMembers,Graph,arn:${Partition}:detective:${Region}:${Account}:graph:${ResourceId},ResourceId,,,,,,,false
ec2,aws_ebs_snapshot_block_public_access,EBS Snapshot Block Public Access,0,0,1,2,1,EnableSnapshotBlockPublicAccess,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ebs_snapshot_block_public_access.go,ec2,ec2:EnableSnapshotBlockPublicAccess,ec2:EnableSnapshotBlockPublicAccess,,,,,,,,,,false
transcribe,aws_transcribe_language_model,Language Model,0,0,1,2,1,CreateLanguageModel,/Users/hbwei/terraform-provider-aws/internal/service/transcribe/language_model.go,transcribe,transcribe:CreateLanguageModel,transcribe:CreateLanguageModel,,,,,,,,,,false
s3,aws_s3_bucket_inventory,Bucket Inventory,0,0,1,2,1,PutBucketInventoryConfiguration,/Users/hbwei/terraform-provider-aws/internal/service/s3/bucket_inventory.go,s3,s3:PutBucketInventoryConfiguration,s3:PutInventoryConfiguration,bucket,arn:${Partition}:s3:::${BucketName},BucketName,,,,,,,false
storagegateway,aws_storagegateway_gateway,Gateway,0,2,5,14,9,UpdateBandwidthRateLimit,/Users/hbwei/terraform-provider-aws/internal/service/storagegateway/gateway.go,storagegateway,storagegateway:UpdateBandwidthRateLimit,storagegateway:UpdateBandwidthRateLimit,gateway,arn:${Partition}:storagegateway:${Region}:${Account}:gateway/${GatewayId},GatewayId,,,,,,,false
ec2,aws_ami_launch_permission,AMI Launch Permission,0,0,1,2,1,ModifyImageAttribute,/Users/hbwei/terraform-provider-aws/internal/service/ec2/ec2_ami_launch_permission.go,ec2,ec2:ModifyImageAttribute,ec2:ModifyImageAttribute,image,arn:${Partition}:ec2:${Region}::image/${ImageId},ImageId,ModifyImageAttribute,ModifyImageAttributeRequest,ImageId,true,ImageId,string,true
cognitoidp,aws_cognito_identity_provider,Identity Provider,0,0,1,2,1,CreateIdentityProvider,/Users/hbwei/terraform-provider-aws/internal/service/cognitoidp/identity_provider.go,cognito-idp,cognito-idp:CreateIdentityProvider,cognito-idp:CreateIdentityProvider,userpool,arn:${Partition}:cognito-idp:${Region}:${Account}:userpool/${UserPoolId},UserPoolId,CreateIdentityProvider,CreateIdentityProviderRequest,UserPoolId,true,UserPoolIdType,string,true
cloudformation,aws_cloudformation_stack,Stack,0,0,3,4,1,CreateStack,/Users/hbwei/terraform-provider-aws/internal/service/cloudformation/stack.go,cloudformation,cloudformation:CreateStack,cloudformation:CreateStack,stack,arn:${Partition}:cloudformation:${Region}:${Account}:stack/${StackName}/${Id},StackName,CreateStack,CreateStackInput,StackName,true,StackName,string,true
cloudformation,aws_cloudformation_stack,Stack,0,0,3,4,1,CreateStack,/Users/hbwei/terraform-provider-aws/internal/service/cloudformation/stack.go,cloudformation,cloudformation:CreateStack,cloudformation:CreateStack,stack,arn:${Partition}:cloudformation:${Region}:${Account}:stack/${StackName}/${Id},Id,,,,,,,false
imagebuilder,aws_imagebuilder_infrastructure_configuration,Infrastructure Configuration,0,0,1,2,1,CreateInfrastructureConfiguration,/Users/hbwei/terraform-provider-aws/internal/service/imagebuilder/infrastructure_configuration.go,imagebuilder,imagebuilder:CreateInfrastructureConfiguration,imagebuilder:CreateInfrastructureConfiguration,infrastructureConfiguration,arn:${Partition}:imagebuilder:${Region}:${Account}:infrastructure-configuration/${ResourceId},ResourceId,,,,,,,false
cloudwatch,aws_cloudwatch_metric_alarm,Metric Alarm,0,0,1,2,1,PutMetricAlarm,/Users/hbwei/terraform-provider-aws/internal/service/cloudwatch/metric_alarm.go,cloudwatch,cloudwatch:PutMetricAlarm,cloudwatch:PutMetricAlarm,alarm,arn:${Partition}:cloudwatch:${Region}:${Account}:alarm:${AlarmName},AlarmName,PutMetricAlarm,PutMetricAlarmInput,AlarmName,true,AlarmName,string,true
appsync,aws_appsync_domain_name,Domain Name,0,0,1,2,1,CreateDomainName,/Users/hbwei/terraform-provider-aws/internal/service/appsync/domain_name.go,appsync,appsync:CreateDomainName,appsync:CreateDomainName,,,,,,,,,,false
ecr,aws_ecr_pull_through_cache_rule,Pull Through Cache Rule,0,0,1,2,1,CreatePullThroughCacheRule,/Users/hbwei/terraform-provider-aws/internal/service/ecr/pull_through_cache_rule.go,ecr,ecr:CreatePullThroughCacheRule,ecr:CreatePullThroughCacheRule,,,,,,,,,,false
directconnect,aws_dx_lag,LAG,0,0,2,3,1,CreateLag,/Users/hbwei/terraform-provider-aws/internal/service/directconnect/lag.go,directconnect,directconnect:CreateLag,directconnect:CreateLag,dxcon,arn:${Partition}:directconnect:${Region}:${Account}:dxcon/${ConnectionId},ConnectionId,CreateLag,CreateLagRequest,connectionId,false,ConnectionId,string,true
ses,aws_ses_email_identity,Email Identity,0,0,1,2,1,VerifyEmailIdentity,/Users/hbwei/terraform-provider-aws/internal/service/ses/email_identity.go,ses,ses:VerifyEmailIdentity,ses:VerifyEmailIdentity,,,,,,,,,,false
dynamodb,aws_dynamodb_table_item,Table Item,0,0,1,2,1,PutItem,/Users/hbwei/terraform-provider-aws/internal/service/dynamodb/table_item.go,dynamodb,dynamodb:PutItem,dynamodb:PutItem,table,arn:${Partition}:dynamodb:${Region}:${Account}:table/${TableName},TableName,PutItem,PutItemInput,TableName,true,TableArn,string,true
autoscaling,aws_autoscaling_group,Group,0,4,1,10,6,CreateAutoScalingGroup,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/group.go,autoscaling,autoscaling:CreateAutoScalingGroup,autoscaling:CreateAutoScalingGroup,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},GroupId,,,,,,,false
autoscaling,aws_autoscaling_group,Group,0,4,1,10,6,CreateAutoScalingGroup,/Users/hbwei/terraform-provider-aws/internal/service/autoscaling/group.go,autoscaling,autoscaling:CreateAutoScalingGroup,autoscaling:CreateAutoScalingGroup,autoScalingGroup,arn:${Partition}:autoscaling:${Region}:${Account}:autoScalingGroup:${GroupId}:autoScalingGroupName/${GroupFriendlyName},GroupFriendlyName,,,,,,,false
servicequotas,aws_servicequotas_service_quota,Service Quota,2,0,3,4,1,RequestServiceQuotaIncrease,/Users/hbwei/terraform-provider-aws/internal/service/servicequotas/service_quota.go,servicequotas,servicequotas:RequestServiceQuotaIncrease,servicequotas:RequestServiceQuotaIncrease,quota,arn:${Partition}:servicequotas:${Region}:${Account}:${ServiceCode}/${QuotaCode},ServiceCode,RequestServiceQuotaIncrease,RequestServiceQuotaIncreaseRequest,ServiceCode,true,ServiceCode,string,true
servicequotas,aws_servicequotas_service_quota,Service Quota,2,0,3,4,1,RequestServiceQuotaIncrease,/Users/hbwei/terraform-provider-aws/internal/service/servicequotas/service_quota.go,servicequotas,servicequotas:RequestServiceQuotaIncrease,servicequotas:RequestServiceQuotaIncrease,quota,arn:${Partition}:servicequotas:${Region}:${Account}:${ServiceCode}/${QuotaCode},QuotaCode,RequestServiceQuotaIncrease,RequestServiceQuotaIncreaseRequest,QuotaCode,true,QuotaCode,string,true
route53recoveryreadiness,aws_route53recoveryreadiness_resource_set,Resource Set,0,0,1,2,1,CreateResourceSet,/Users/hbwei/terraform-provider-aws/internal/service/route53recoveryreadiness/resource_set.go,route53-recovery-readiness,route53-recovery-readiness:CreateResourceSet,route53-recovery-readiness:CreateResourceSet,resourceset,arn:${Partition}:route53-recovery-readiness::${Account}:resource-set/${ResourceId},ResourceId,,,,,,,false
gamelift,aws_gamelift_alias,Alias,0,0,1,2,1,CreateAlias,/Users/hbwei/terraform-provider-aws/internal/service/gamelift/alias.go,gamelift,gamelift:CreateAlias,gamelift:CreateAlias,,,,,,,,,,false
gamelift,aws_gamelift_alias,Alias,0,0,1,2,1,CreateAlias,/Users/hbwei/terraform-provider-aws/internal/service/gamelift/alias.go,gamelift,gamelift:CreateAlias,gamelift:CreateAlias,,,,,,,,,,false
securityhub,aws_securityhub_insight,Insight,0,0,1,2,1,CreateInsight,/Users/hbwei/terraform-provider-aws/internal/service/securityhub/insight.go,securityhub,securityhub:CreateInsight,securityhub:CreateInsight,hub,arn:${Partition}:securityhub:${Region}:${Account}:hub/default,,,,,,,,false
ec2,aws_default_vpc,Default VPC,2,0,8,9,1,CreateDefaultVpc,/Users/hbwei/terraform-provider-aws/internal/service/ec2/vpc_default_vpc.go,ec2,ec2:CreateDefaultVpc,ec2:CreateDefaultVpc,,,,,,,,,,false
imagebuilder,aws_imagebuilder_image,Image,0,0,1,2,1,CreateImage,/Users/hbwei/terraform-provider-aws/internal/service/imagebuilder/image.go,imagebuilder,imagebuilder:CreateImage,imagebuilder:CreateImage,image,arn:${Partition}:imagebuilder:${Region}:${Account}:image/${ImageName}/${ImageVersion}/${ImageBuildVersion},ImageName,,,,,,,false
imagebuilder,aws_imagebuilder_image,Image,0,0,1,2,1,CreateImage,/Users/hbwei/terraform-provider-aws/internal/service/imagebuilder/image.go,imagebuilder,imagebuilder:CreateImage,imagebuilder:CreateImage,image,arn:${Partition}:imagebuilder:${Region}:${Account}:image/${ImageName}/${ImageVersion}/${ImageBuildVersion},ImageVersion,,,,,,,false
imagebuilder,aws_imagebuilder_image,Image,0,0,1,2,1,CreateImage,/Users/hbwei/terraform-provider-aws/internal/service/imagebuilder/image.go,imagebuilder,imagebuilder:CreateImage,imagebuilder:CreateImage,image,arn:${Partition}:imagebuilder:${Region}:${Account}:image/${ImageName}/${ImageVersion}/${ImageBuildVersion},ImageBuildVersion,,,,,,,false
guardduty,aws_guardduty_invite_accepter,Invite Accepter,1,0,1,3,1,AcceptInvitation,/Users/hbwei/terraform-provider-aws/internal/service/guardduty/invite_accepter.go,guardduty,guardduty:AcceptInvitation,guardduty:AcceptInvitation,,,,,,,,,,false
grafana,aws_grafana_workspace_api_key,Workspace API Key,0,0,0,1,1,CreateWorkspaceApiKey,/Users/hbwei/terraform-provider-aws/internal/service/grafana/workspace_api_key.go,grafana,grafana:CreateWorkspaceApiKey,grafana:CreateWorkspaceApiKey,workspace,arn:${Partition}:grafana:${Region}:${Account}:/workspaces/${ResourceId},ResourceId,,,,,,,false
dynamodb,aws_dynamodb_kinesis_streaming_destination,Kinesis Streaming Destination,0,0,1,2,1,EnableKinesisStreamingDestination,/Users/hbwei/terraform-provider-aws/internal/service/dynamodb/kinesis_streaming_destination.go,dynamodb,dynamodb:EnableKinesisStreamingDestination,dynamodb:EnableKinesisStreamingDestination,table,arn:${Partition}:dynamodb:${Region}:${Account}:table/${TableName},TableName,EnableKinesisStreamingDestination,KinesisStreamingDestinationInput,TableName,true,TableArn,string,true
appmesh,aws_appmesh_mesh,Service Mesh,0,0,1,2,1,CreateMesh,/Users/hbwei/terraform-provider-aws/internal/service/appmesh/mesh.go,appmesh,appmesh:CreateMesh,appmesh:CreateMesh,mesh,arn:${Partition}:appmesh:${Region}:${Account}:mesh/${MeshName},MeshName,CreateMesh,CreateMeshInput,meshName,true,ResourceName,string,true
imagebuilder,aws_imagebuilder_workflow,Workflow,0,0,1,2,1,CreateWorkflow,/Users/hbwei/terraform-provider-aws/internal/service/imagebuilder/workflow.go,imagebuilder,imagebuilder:CreateWorkflow,imagebuilder:CreateWorkflow,workflow,arn:${Partition}:imagebuilder:${Region}:${Account}:workflow/${WorkflowType}/${WorkflowName}/${WorkflowVersion}/${WorkflowBuildVersion},WorkflowType,,,,,,,false
imagebuilder,aws_imagebuilder_workflow,Workflow,0,0,1,2,1,CreateWorkflow,/Users/hbwei/terraform-provider-aws/internal/service/imagebuilder/workflow.go,imagebuilder,imagebuilder:CreateWorkflow,imagebuilder:CreateWorkflow,workflow,arn:${Partition}:imagebuilder:${Region}:${Account}:workflow/${WorkflowType}/${WorkflowName}/${WorkflowVersion}/${WorkflowBuildVersion},WorkflowName,,,,,,,false
imagebuilder,aws_imagebuilder_workflow,Workflow,0,0,1,2,1,CreateWorkflow,/Users/hbwei/terraform-provider-aws/internal/service/imagebuilder/workflow.go,imagebuilder,imagebuilder:CreateWorkflow,imagebuilder:CreateWorkflow,workflow,arn:${Partition}:imagebuilder:${Region}:${Account}:workflow/${WorkflowType}/${WorkflowName}/${WorkflowVersion}/${WorkflowBuildVersion},WorkflowVersion,,,,,,,false
imagebuilder,aws_imagebuilder_workflow,Workflow,0,0,1,2,1,CreateWorkflow,/Users/hbwei/terraform-provider-aws/internal/service/imagebuilder/workflow.go,imagebuilder,imagebuilder:CreateWorkflow,imagebuilder:CreateWorkflow,workflow,arn:${Partition}:imagebuilder:${Region}:${Account}:workflow/${WorkflowType}/${WorkflowName}/${WorkflowVersion}/${WorkflowBuildVersion},WorkflowBuildVersion,,,,,,,false
iam,aws_iam_account_password_policy,Account Password Policy,0,0,0,1,1,UpdateAccountPasswordPolicy,/Users/hbwei/terraform-provider-aws/internal/service/iam/account_password_policy.go,iam,iam:UpdateAccountPasswordPolicy,iam:UpdateAccountPasswordPolicy,,,,,,,,,,false
backup,aws_backup_vault_policy,Vault Policy,0,0,1,2,1,PutBackupVaultAccessPolicy,/Users/hbwei/terraform-provider-aws/internal/service/backup/vault_policy.go,backup,backup:PutBackupVaultAccessPolicy,backup:PutBackupVaultAccessPolicy,backupVault,arn:${Partition}:backup:${Region}:${Account}:backup-vault:${BackupVaultName},BackupVaultName,PutBackupVaultAccessPolicy,PutBackupVaultAccessPolicyInput,BackupVaultName,true,BackupVaultName,string,true
appsync,aws_appsync_domain_name_api_association,Domain Name API Association,0,0,1,2,1,AssociateApi,/Users/hbwei/terraform-provider-aws/internal/service/appsync/domain_name_api_association.go,appsync,appsync:AssociateApi,appsync:AssociateApi,domain,arn:${Partition}:appsync:${Region}:${Account}:domainnames/${DomainName},DomainName,AssociateApi,AssociateApiRequest,domainName,true,DomainName,string,true
servicecatalog,aws_servicecatalog_organizations_access,Organizations Access,0,1,1,3,2,EnableAWSOrganizationsAccess,/Users/hbwei/terraform-provider-aws/internal/service/servicecatalog/organizations_access.go,servicecatalog,servicecatalog:EnableAWSOrganizationsAccess,servicecatalog:EnableAWSOrganizationsAccess,,,,,,,,,,false
iam,aws_iam_signing_certificate,Signing Certificate,0,0,1,3,2,UploadSigningCertificate,/Users/hbwei/terraform-provider-aws/internal/service/iam/signing_certificate.go,iam,iam:UploadSigningCertificate,iam:UploadSigningCertificate,user,arn:${Partition}:iam::${Account}:user/${UserNameWithPath},UserNameWithPath,,,,,,,false
rds,aws_rds_reserved_instance,Reserved Instance,0,0,1,2,1,PurchaseReservedDBInstancesOffering,/Users/hbwei/terraform-provider-aws/internal/service/rds/reserved_instance.go,rds,rds:PurchaseReservedDBInstancesOffering,rds:PurchaseReservedDBInstancesOffering,ri,arn:${Partition}:rds:${Region}:${Account}:ri:${ReservedDbInstanceName},ReservedDbInstanceName,,,,,,,false
sagemaker,aws_sagemaker_mlflow_tracking_server,Mlflow Tracking Server,0,0,1,2,1,CreateMlflowTrackingServer,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/mlflow_tracking_server.go,sagemaker,sagemaker:CreateMlflowTrackingServer,sagemaker:CreateMlflowTrackingServer,mlflow-tracking-server,arn:${Partition}:sagemaker:${Region}:${Account}:mlflow-tracking-server/${MlflowTrackingServerName},MlflowTrackingServerName,,,,,,,false
ses,aws_ses_identity_notification_topic,Identity Notification Topic,0,0,1,3,2,SetIdentityNotificationTopic,/Users/hbwei/terraform-provider-aws/internal/service/ses/identity_notification_topic.go,ses,ses:SetIdentityNotificationTopic,ses:SetIdentityNotificationTopic,,,,,,,,,,false
codebuild,aws_codebuild_report_group,Report Group,0,0,1,2,1,CreateReportGroup,/Users/hbwei/terraform-provider-aws/internal/service/codebuild/report_group.go,codebuild,codebuild:CreateReportGroup,codebuild:CreateReportGroup,report-group,arn:${Partition}:codebuild:${Region}:${Account}:report-group/${ReportGroupName},ReportGroupName,,,,,,,false
budgets,aws_budgets_budget,Budget,0,0,4,5,1,CreateBudget,/Users/hbwei/terraform-provider-aws/internal/service/budgets/budget.go,budgets,budgets:CreateBudget,budgets:ModifyBudget,budget,arn:${Partition}:budgets::${Account}:budget/${BudgetName},BudgetName,,,,,,,false
iam,aws_iam_role_policy,Role Policy,0,0,1,2,1,PutRolePolicy,/Users/hbwei/terraform-provider-aws/internal/service/iam/role_policy.go,iam,iam:PutRolePolicy,iam:PutRolePolicy,role,arn:${Partition}:iam::${Account}:role/${RoleNameWithPath},RoleNameWithPath,,,,,,,false
iam,aws_iam_instance_profile,Instance Profile,0,0,4,5,1,CreateInstanceProfile,/Users/hbwei/terraform-provider-aws/internal/service/iam/instance_profile.go,iam,iam:CreateInstanceProfile,iam:CreateInstanceProfile,instance-profile,arn:${Partition}:iam::${Account}:instance-profile/${InstanceProfileNameWithPath},InstanceProfileNameWithPath,,,,,,,false
transfer,aws_transfer_user,User,0,0,1,2,1,CreateUser,/Users/hbwei/terraform-provider-aws/internal/service/transfer/user.go,transfer,transfer:CreateUser,transfer:CreateUser,server,arn:${Partition}:transfer:${Region}:${Account}:server/${ServerId},ServerId,CreateUser,CreateUserRequest,ServerId,true,ServerId,string,true
sagemaker,aws_sagemaker_notebook_instance_lifecycle_configuration,Notebook Instance Lifecycle Configuration,0,0,1,2,1,CreateNotebookInstanceLifecycleConfig,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/notebook_instance_lifecycle_configuration.go,sagemaker,sagemaker:CreateNotebookInstanceLifecycleConfig,sagemaker:CreateNotebookInstanceLifecycleConfig,notebook-instance-lifecycle-config,arn:${Partition}:sagemaker:${Region}:${Account}:notebook-instance-lifecycle-config/${NotebookInstanceLifecycleConfigName},NotebookInstanceLifecycleConfigName,CreateNotebookInstanceLifecycleConfig,CreateNotebookInstanceLifecycleConfigInput,NotebookInstanceLifecycleConfigName,true,NotebookInstanceLifecycleConfigName,string,true
securityhub,aws_securityhub_member,Member,0,0,1,3,2,InviteMembers,/Users/hbwei/terraform-provider-aws/internal/service/securityhub/member.go,securityhub,securityhub:InviteMembers,securityhub:InviteMembers,hub,arn:${Partition}:securityhub:${Region}:${Account}:hub/default,,,,,,,,false
ses,aws_ses_active_receipt_rule_set,Active Receipt Rule Set,0,0,1,2,1,SetActiveReceiptRuleSet,/Users/hbwei/terraform-provider-aws/internal/service/ses/active_receipt_rule_set.go,ses,ses:SetActiveReceiptRuleSet,ses:SetActiveReceiptRuleSet,,,,,,,,,,false
accessanalyzer,aws_accessanalyzer_analyzer,Analyzer,0,0,1,2,1,CreateAnalyzer,/Users/hbwei/terraform-provider-aws/internal/service/accessanalyzer/analyzer.go,access-analyzer,access-analyzer:CreateAnalyzer,access-analyzer:CreateAnalyzer,Analyzer,arn:${Partition}:access-analyzer:${Region}:${Account}:analyzer/${AnalyzerName},AnalyzerName,CreateAnalyzer,CreateAnalyzerRequest,analyzerName,true,Name,string,true
iot,aws_iot_ca_certificate,CA Certificate,0,0,1,2,1,RegisterCACertificate,/Users/hbwei/terraform-provider-aws/internal/service/iot/ca_certificate.go,iot,iot:RegisterCACertificate,iot:RegisterCACertificate,,,,,,,,,,false
route53resolver,aws_route53_resolver_firewall_domain_list,Firewall Domain List,0,0,2,4,2,CreateFirewallDomainList,/Users/hbwei/terraform-provider-aws/internal/service/route53resolver/firewall_domain_list.go,route53resolver,route53resolver:CreateFirewallDomainList,route53resolver:CreateFirewallDomainList,firewall-domain-list,arn:${Partition}:route53resolver:${Region}:${Account}:firewall-domain-list/${ResourceId},ResourceId,,,,,,,false
redshift,aws_redshift_endpoint_access,Endpoint Access,0,0,1,2,1,CreateEndpointAccess,/Users/hbwei/terraform-provider-aws/internal/service/redshift/endpoint_access.go,redshift,redshift:CreateEndpointAccess,redshift:CreateEndpointAccess,,,,,,,,,,false
kinesis,aws_kinesis_stream,Stream,0,1,1,5,4,CreateStream,/Users/hbwei/terraform-provider-aws/internal/service/kinesis/stream.go,kinesis,kinesis:CreateStream,kinesis:CreateStream,stream,arn:${Partition}:kinesis:${Region}:${Account}:stream/${StreamName},StreamName,CreateStream,CreateStreamInput,StreamName,true,StreamName,string,true
s3,aws_s3_bucket_website_configuration,Bucket Website Configuration,0,0,2,3,1,PutBucketWebsite,/Users/hbwei/terraform-provider-aws/internal/service/s3/bucket_website_configuration.go,s3,s3:PutBucketWebsite,s3:PutBucketWebsite,bucket,arn:${Partition}:s3:::${BucketName},BucketName,,,,,,,false
mediapackage,aws_media_package_channel,Channel,0,0,1,2,1,CreateChannel,/Users/hbwei/terraform-provider-aws/internal/service/mediapackage/channel.go,mediapackage,mediapackage:CreateChannel,mediapackage:CreateChannel,,,,,,,,,,false
ec2,aws_ec2_transit_gateway_connect,Transit Gateway Connect,0,0,9,10,1,CreateTransitGatewayConnect,/Users/hbwei/terraform-provider-aws/internal/service/ec2/transitgateway_connect.go,ec2,ec2:CreateTransitGatewayConnect,ec2:CreateTransitGatewayConnect,transit-gateway-attachment,arn:${Partition}:ec2:${Region}:${Account}:transit-gateway-attachment/${TransitGatewayAttachmentId},TransitGatewayAttachmentId,,,,,,,false
macie2,aws_macie2_member,Member,0,0,3,4,1,CreateMember,/Users/hbwei/terraform-provider-aws/internal/service/macie2/member.go,macie2,macie2:CreateMember,macie2:CreateMember,Member,arn:${Partition}:macie2:${Region}:${Account}:member/${ResourceId},ResourceId,,,,,,,false
guardduty,aws_guardduty_organization_admin_account,Organization Admin Account,0,0,1,2,1,EnableOrganizationAdminAccount,/Users/hbwei/terraform-provider-aws/internal/service/guardduty/organization_admin_account.go,guardduty,guardduty:EnableOrganizationAdminAccount,guardduty:EnableOrganizationAdminAccount,,,,,,,,,,false
guardduty,aws_guardduty_publishing_destination,Publishing Destination,0,0,1,2,1,CreatePublishingDestination,/Users/hbwei/terraform-provider-aws/internal/service/guardduty/publishing_destination.go,guardduty,guardduty:CreatePublishingDestination,guardduty:CreatePublishingDestination,,,,,,,,,,false
directconnect,aws_dx_hosted_transit_virtual_interface_accepter,Hosted Transit Virtual Interface Accepter,0,0,2,3,1,ConfirmTransitVirtualInterface,/Users/hbwei/terraform-provider-aws/internal/service/directconnect/hosted_transit_virtual_interface_accepter.go,directconnect,directconnect:ConfirmTransitVirtualInterface,directconnect:ConfirmTransitVirtualInterface,dxvif,arn:${Partition}:directconnect:${Region}:${Account}:dxvif/${VirtualInterfaceId},VirtualInterfaceId,ConfirmTransitVirtualInterface,ConfirmTransitVirtualInterfaceRequest,virtualInterfaceId,true,VirtualInterfaceId,string,true
kendra,aws_kendra_thesaurus,Thesaurus,0,0,1,2,1,CreateThesaurus,/Users/hbwei/terraform-provider-aws/internal/service/kendra/thesaurus.go,kendra,kendra:CreateThesaurus,kendra:CreateThesaurus,index,arn:${Partition}:kendra:${Region}:${Account}:index/${IndexId},IndexId,CreateThesaurus,CreateThesaurusRequest,IndexId,true,IndexId,string,true
networkfirewall,aws_networkfirewall_logging_configuration,Logging Configuration,0,0,2,2,1,UpdateLoggingConfiguration,/Users/hbwei/terraform-provider-aws/internal/service/networkfirewall/logging_configuration.go,network-firewall,network-firewall:UpdateLoggingConfiguration,network-firewall:UpdateLoggingConfiguration,Firewall,arn:${Partition}:network-firewall:${Region}:${Account}:firewall/${Name},Name,,,,,,,false
redshift,aws_redshift_parameter_group,Parameter Group,0,0,2,4,2,CreateClusterParameterGroup,/Users/hbwei/terraform-provider-aws/internal/service/redshift/parameter_group.go,redshift,redshift:CreateClusterParameterGroup,redshift:CreateClusterParameterGroup,parametergroup,arn:${Partition}:redshift:${Region}:${Account}:parametergroup:${ParameterGroupName},ParameterGroupName,CreateClusterParameterGroup,CreateClusterParameterGroupMessage,ParameterGroupName,true,String,string,true
memorydb,aws_memorydb_parameter_group,Parameter Group,0,0,5,6,1,CreateParameterGroup,/Users/hbwei/terraform-provider-aws/internal/service/memorydb/parameter_group.go,memorydb,memorydb:CreateParameterGroup,memorydb:CreateParameterGroup,,,,,,,,,,false
waf,aws_waf_byte_match_set,ByteMatchSet,1,0,4,5,1,CreateByteMatchSet,/Users/hbwei/terraform-provider-aws/internal/service/waf/byte_match_set.go,waf,waf:CreateByteMatchSet,waf:CreateByteMatchSet,bytematchset,arn:${Partition}:waf::${Account}:bytematchset/${Id},Id,,,,,,,false
resourcegroups,aws_resourcegroups_group,Group,0,0,3,4,1,CreateGroup,/Users/hbwei/terraform-provider-aws/internal/service/resourcegroups/group.go,resource-groups,resource-groups:CreateGroup,resource-groups:CreateGroup,,,,,,,,,,false
lightsail,aws_lightsail_disk,Disk,0,0,2,3,1,CreateDisk,/Users/hbwei/terraform-provider-aws/internal/service/lightsail/disk.go,lightsail,lightsail:CreateDisk,lightsail:CreateDisk,,,,,,,,,,false
glue,aws_glue_workflow,Workflow,0,0,1,2,1,CreateWorkflow,/Users/hbwei/terraform-provider-aws/internal/service/glue/workflow.go,glue,glue:CreateWorkflow,glue:CreateWorkflow,workflow,arn:${Partition}:glue:${Region}:${Account}:workflow/${WorkflowName},WorkflowName,,,,,,,false
ecr,aws_ecr_replication_configuration,Replication Configuration,0,0,1,2,1,PutReplicationConfiguration,/Users/hbwei/terraform-provider-aws/internal/service/ecr/replication_configuration.go,ecr,ecr:PutReplicationConfiguration,ecr:PutReplicationConfiguration,,,,,,,,,,false
storagegateway,aws_storagegateway_smb_file_share,SMB File Share,0,0,1,2,1,CreateSMBFileShare,/Users/hbwei/terraform-provider-aws/internal/service/storagegateway/smb_file_share.go,storagegateway,storagegateway:CreateSMBFileShare,storagegateway:CreateSMBFileShare,gateway,arn:${Partition}:storagegateway:${Region}:${Account}:gateway/${GatewayId},GatewayId,,,,,,,false
glue,aws_glue_connection,Connection,0,0,1,2,1,CreateConnection,/Users/hbwei/terraform-provider-aws/internal/service/glue/connection.go,glue,glue:CreateConnection,glue:CreateConnection,rootcatalog,arn:${Partition}:glue:${Region}:${Account}:catalog,,,,,,,,false
ecrpublic,aws_ecrpublic_repository_policy,Repository Policy,0,0,1,2,1,SetRepositoryPolicy,/Users/hbwei/terraform-provider-aws/internal/service/ecrpublic/repository_policy.go,ecr-public,ecr-public:SetRepositoryPolicy,ecr-public:SetRepositoryPolicy,repository,arn:${Partition}:ecr-public::${Account}:repository/${RepositoryName},RepositoryName,SetRepositoryPolicy,SetRepositoryPolicyRequest,repositoryName,true,RepositoryName,string,true
