TF_service_name,TF_terraform_resource_name,TF_aws_sdk_resource_name,TF_num_before_sdk_calls,TF_num_intermediate_sdk_calls,TF_num_after_sdk_calls,TF_num_create_function_stack_calls,TF_num_create_function_only_calls,TF_create_function_only_calls,TF_file_path,SR_service_name,SR_operation_name,SR_authorized_actions-authorized_action-Name,SR_authorized_actions-action_details-resource_details-name,SR_authorized_actions-action_details-resource_details-arn-arn_template,SR_authorized_actions-action_details-resource_details-arn-arn_variables,BC_operation_name,BC_input_shape_name,BC_member_name,BC_is_required,BC_member_shape_name,BC_member_shape_type,TF_successful_arn_variable_match
storagegateway,aws_storagegateway_gateway,Gateway,0,2,5,14,9,UpdateSMBFileShareVisibility,/Users/hbwei/terraform-provider-aws/internal/service/storagegateway/gateway.go,storagegateway,storagegateway:UpdateSMBFileShareVisibility,storagegateway:UpdateSMBFileShareVisibility,gateway,arn:${Partition}:storagegateway:${Region}:${Account}:gateway/${GatewayId},GatewayId,,,,,,,false
appstream,aws_appstream_user_stack_association,User Stack Association,0,0,1,2,1,BatchAssociateUserStack,/Users/hbwei/terraform-provider-aws/internal/service/appstream/user_stack_association.go,appstream,appstream:BatchAssociateUserStack,appstream:BatchAssociateUserStack,stack,arn:${Partition}:appstream:${Region}:${Account}:stack/${StackName},StackName,,,,,,,false
kafka,aws_msk_cluster,Cluster,0,1,3,6,2,CreateCluster,/Users/hbwei/terraform-provider-aws/internal/service/kafka/cluster.go,kafka,kafka:CreateCluster,kafka:CreateCluster,cluster,arn:${Partition}:kafka:${Region}:${Account}:cluster/${ClusterName}/${Uuid},ClusterName,CreateCluster,CreateClusterRequest,ClusterName,true,__stringMin1Max64,string,true
kafka,aws_msk_cluster,Cluster,0,1,3,6,2,CreateCluster,/Users/hbwei/terraform-provider-aws/internal/service/kafka/cluster.go,kafka,kafka:CreateCluster,kafka:CreateCluster,cluster,arn:${Partition}:kafka:${Region}:${Account}:cluster/${ClusterName}/${Uuid},Uuid,,,,,,,false
codebuild,aws_codebuild_project,Project,0,0,1,3,2,CreateProject,/Users/hbwei/terraform-provider-aws/internal/service/codebuild/project.go,codebuild,codebuild:CreateProject,codebuild:CreateProject,project,arn:${Partition}:codebuild:${Region}:${Account}:project/${ProjectName},ProjectName,,,,,,,false
transfer,aws_transfer_agreement,Agreement,0,0,1,2,1,CreateAgreement,/Users/hbwei/terraform-provider-aws/internal/service/transfer/agreement.go,transfer,transfer:CreateAgreement,transfer:CreateAgreement,server,arn:${Partition}:transfer:${Region}:${Account}:server/${ServerId},ServerId,CreateAgreement,CreateAgreementRequest,ServerId,true,ServerId,string,true
appsync,aws_appsync_function,Function,0,0,1,2,1,CreateFunction,/Users/hbwei/terraform-provider-aws/internal/service/appsync/function.go,appsync,appsync:CreateFunction,appsync:CreateFunction,,,,,,,,,,false
datasync,aws_datasync_location_fsx_windows_file_system,Location FSx for Windows File Server File System,0,0,1,2,1,CreateLocationFsxWindows,/Users/hbwei/terraform-provider-aws/internal/service/datasync/location_fsx_windows_file_system.go,datasync,datasync:CreateLocationFsxWindows,datasync:CreateLocationFsxWindows,,,,,,,,,,false
waf,aws_waf_xss_match_set,XSS Match Set,1,0,3,4,1,CreateXssMatchSet,/Users/hbwei/terraform-provider-aws/internal/service/waf/xss_match_set.go,waf,waf:CreateXssMatchSet,waf:CreateXssMatchSet,xssmatchset,arn:${Partition}:waf::${Account}:xssmatchset/${Id},Id,,,,,,,false
sagemaker,aws_sagemaker_workteam,Workteam,0,0,1,2,1,CreateWorkteam,/Users/hbwei/terraform-provider-aws/internal/service/sagemaker/workteam.go,sagemaker,sagemaker:CreateWorkteam,sagemaker:CreateWorkteam,workteam,arn:${Partition}:sagemaker:${Region}:${Account}:workteam/${WorkteamName},WorkteamName,CreateWorkteam,CreateWorkteamRequest,WorkteamName,true,WorkteamName,string,true
